id,epgid,tvg_name,group
1,CCTV1,#CCTV-1 综合#CCTV1#,央视频道
2,CCTV2,#CCTV-2 财经#CCTV2#,央视频道
3,CCTV3,#CCTV-3 综艺#CCTV3#,央视频道
4,CCTV4,#CCTV-4 中文国际#CCTV4#,央视频道
5,CCTV5,#CCTV-5 体育#CCTV5#,央视频道
6,CCTV5+,#CCTV-5+ 体育赛事#CCTV5+#,央视频道
7,CCTV6,#CCTV-6 电影#CCTV6#,央视频道
8,CCTV7,#CCTV-7 国防军事#CCTV7#,央视频道
9,CCTV8,#CCTV-8 电视剧#CCTV8#,央视频道
10,CCTV9,#CCTV-9 纪录#CCTV9#,央视频道
11,CCTV10,#CCTV-10 科教#CCTV10#,央视频道
12,CCTV11,#CCTV-11 戏曲#CCTV11#,央视频道
13,CCTV12,#CCTV-12 社会与法#CCTV12#,央视频道
14,CCTV13,#CCTV-13 新闻#CCTV13#,央视频道
15,CCTV14,#CCTV-14 少儿#CCTV14#,央视频道
16,CCTV15,#CCTV-15 音乐#CCTV15#,央视频道
17,CCTV16,#CCTV-16 奥林匹克#CCTV16#,央视频道
18,CCTV17,#CCTV-17 农业农村#CCTV17#,央视频道
19,CCTV4K,#CCTV-4K 超高清#CCTV4K#,央视频道
20,重温经典,#重温经典#重温经典#,央视频道
21,CHC影迷电影,#CHC影迷电影#CHC影迷电影#,央视频道
22,CHC动作电影,#CHC动作电影#CHC动作电影#,央视频道
23,CHC家庭影院,#CHC家庭影院#CHC家庭影院#,央视频道
24,北京卫视,#北京卫视#北京卫视#,卫视频道
25,湖南卫视,#湖南卫视#湖南卫视#,卫视频道
26,东方卫视,#东方卫视#东方卫视#,卫视频道
27,四川卫视,#四川卫视#四川卫视#,卫视频道
28,天津卫视,#天津卫视#天津卫视#,卫视频道
29,安徽卫视,#安徽卫视#安徽卫视#,卫视频道
30,山东卫视,#山东卫视#山东卫视#,卫视频道
31,深圳卫视,#深圳卫视#深圳卫视#,卫视频道
32,广东卫视,#广东卫视#广东卫视#,卫视频道
33,广西卫视,#广西卫视#广西卫视#,卫视频道
34,江苏卫视,#江苏卫视#江苏卫视#,卫视频道
35,江西卫视,#江西卫视#江西卫视#,卫视频道
36,河北卫视,#河北卫视#河北卫视#,卫视频道
37,河南卫视,#河南卫视#河南卫视#,卫视频道
38,浙江卫视,#浙江卫视#浙江卫视#,卫视频道
39,海南卫视,#海南卫视#海南卫视#,卫视频道
40,湖北卫视,#湖北卫视#湖北卫视#,卫视频道
41,山西卫视,#山西卫视#山西卫视#,卫视频道
42,东南卫视,#东南卫视#东南卫视#,卫视频道
43,贵州卫视,#贵州卫视#贵州卫视#,卫视频道
44,辽宁卫视,#辽宁卫视#辽宁卫视#,卫视频道
45,重庆卫视,#重庆卫视#重庆卫视#,卫视频道
46,黑龙江卫视,#黑龙江卫视#黑龙江卫视#,卫视频道
47,内蒙古卫视,#内蒙古卫视#内蒙古卫视#,卫视频道
48,宁夏卫视,#宁夏卫视#宁夏卫视#,卫视频道
49,陕西卫视,#陕西卫视#陕西卫视#,卫视频道
50,吉林卫视,#吉林卫视#吉林卫视#,卫视频道
51,甘肃卫视,#甘肃卫视#甘肃卫视#,卫视频道
52,云南卫视,#云南卫视#云南卫视#,卫视频道
53,三沙卫视,#三沙卫视#三沙卫视#,卫视频道
54,青海卫视,#青海卫视#青海卫视#,卫视频道
55,新疆卫视,#新疆卫视#新疆卫视#,卫视频道
56,西藏卫视,#西藏卫视#西藏卫视#,卫视频道
57,兵团卫视,#兵团卫视#兵团卫视#,卫视频道
58,延边卫视,#延边卫视#延边卫视#,卫视频道
59,安多卫视,#安多卫视#安多卫视#,卫视频道
60,厦门卫视,#厦门卫视#厦门卫视#,卫视频道
61,康巴卫视,#康巴卫视#康巴卫视#,卫视频道
62,大湾区卫视,#大湾区卫视#大湾区卫视#,卫视频道
63,中国教育1台,#CETV-1#中国教育1台#,卫视频道
64,中国教育2台,#CETV-2#中国教育2台#,卫视频道
65,中国教育4台,#CETV-4#中国教育4台#,卫视频道
66,上海纪实人文,#纪实人文#上海纪实人文#,数字频道
67,纪实科教,#纪实科教#纪实科教#,数字频道
68,全纪实,#乐游频道#全纪实#,数字频道
69,欢笑剧场,#欢笑剧场#欢笑剧场#,数字频道
70,都市剧场,#都市剧场#都市剧场#,数字频道
71,金色学堂,#金色学堂#金色学堂#,数字频道
72,卡酷动画,#卡酷少儿#卡酷动画#,数字频道
73,金鹰卡通,#金鹰卡通#金鹰卡通#,数字频道
74,金鹰纪实,#金鹰纪实#金鹰纪实#,数字频道
75,快乐垂钓,#快乐垂钓#快乐垂钓#,数字频道
76,茶,#茶友频道#茶#,数字频道
77,游戏风云,#游戏风云#游戏风云#,数字频道
78,动漫秀场,#动漫秀场#动漫秀场#,数字频道
79,嘉佳卡通,#嘉佳卡通#嘉佳卡通#,数字频道
80,哒啵赛事,#哒啵赛事#哒啵赛事#,数字频道
81,优漫卡通,#优漫卡通#优漫卡通#,数字频道
82,哈哈炫动,#哈哈炫动#哈哈炫动#,数字频道
83,黑莓动画,#黑莓动画#黑莓动画#,数字频道
84,黑莓电影,#黑莓电影#黑莓电影#,数字频道
85,newtv超级体育,#超级体育#newtv超级体育#,数字频道
86,newtv超级电影,#超级电影#newtv超级电影#,数字频道
87,newtv超级电视剧,#超级视剧#newtv超级电视剧#,数字频道
88,newtv东北热剧,#东北热剧#newtv东北热剧#,数字频道
89,newtv海外剧场,#海外剧场#newtv海外剧场#,数字频道
90,newtv中国功夫,#中国功夫#newtv中国功夫#,数字频道
91,newtv军旅剧场,#军旅剧场#newtv军旅剧场#,数字频道
92,newtv惊悚悬疑,#惊悚悬疑#newtv惊悚悬疑#,数字频道
93,newtv潮妈辣婆,#潮妈辣婆#newtv潮妈辣婆#,数字频道
94,newtv精品体育,#精品体育#newtv精品体育#,数字频道
95,newtv精品纪录,#精品纪录#newtv精品纪录#,数字频道
96,newtv家庭剧场,#家庭剧场#newtv家庭剧场#,数字频道
97,newtv精品大剧,#精品大剧#newtv精品大剧#,数字频道
98,newtv军事评论,#军事评论#newtv军事评论#,数字频道
99,newtv明星大片,#明星大片#newtv明星大片#,数字频道
100,newtv欢乐剧场,#欢乐剧场#newtv欢乐剧场#,数字频道
101,newtv精品萌宠,#精品萌宠#newtv精品萌宠#,数字频道
102,newtv超级综艺,#超级综艺#newtv超级综艺#,数字频道
103,newtv金牌综艺,#金牌综艺#newtv金牌综艺#,数字频道
104,浙江公共新闻,#浙江新闻#浙江公共新闻#,浙江频道
105,浙江国际,#浙江国际#浙江国际#,浙江频道
106,浙江少儿,#浙江少儿#浙江少儿#,浙江频道
107,浙江教科影视,#浙江教科#浙江教科影视#,浙江频道
108,之江纪录,#之江纪录#之江纪录#,浙江频道
109,浙江民生休闲,#浙江民生#浙江民生休闲#,浙江频道
110,浙江经视,#浙江经济#浙江经视#,浙江频道
111,浙江钱江都市,#浙江钱江#浙江钱江都市#,浙江频道
112,内蒙古综合,#内蒙新闻#内蒙古综合#,内蒙频道
113,内蒙古经济生活,#内蒙经济#内蒙古经济生活#,内蒙频道
114,内蒙古少儿,#内蒙少儿#内蒙古少儿#,内蒙频道
115,内蒙古文体娱乐,#内蒙文体#内蒙古文体娱乐#,内蒙频道
116,内蒙古农牧,#内蒙农牧#内蒙古农牧#,内蒙频道
117,内蒙古蒙语卫视,#蒙语卫视#内蒙古蒙语卫视#,内蒙频道
118,内蒙古蒙语文化,#蒙语文化#内蒙古蒙语文化#,内蒙频道
119,CGTN,#CGTN英语#CGTN#,央视频道
120,CGTN纪录,#CGTN记录#CGTN纪录#,央视频道
121,CGTN俄语,#CGTN俄语#CGTN俄语#,央视频道
122,CGTN法语,#CGTN法语#CGTN法语#,央视频道
