港 台,#genre#
马来新闻,https://raw.githubusercontent.com/benmoose39/YouTube_to_m3u/main/youtube.m3u
凤凰中文,http://124.230.56.165:55555/udp/239.76.253.135:9000
凤凰资讯,http://124.230.56.165:55555/udp/239.76.253.134:9000
凤凰中文,http://223.11.152.223:7777/udp/239.1.1.126:8126
凤凰资讯,http://223.11.152.223:7777/udp/239.1.1.127:8127
凤凰中文,http://118.114.98.8:4022/udp/239.93.0.162:2192
凤凰资讯,http://118.114.98.8:4022/udp/239.93.0.118:2191
凤凰卫视,http://103.95.24.37:880/fhws.m3u8
凤凰卫视,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰卫视,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
凤凰卫视,https://tv.sd.cn/sichuan?id=239.93.0.162:2192
凤凰资讯,http://103.95.24.37:880/fhzx.m3u8
凤凰资讯,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰资讯,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
凤凰资讯,http://kuanglong.vicp.hk:2121/udp/239.93.16.118:8708
凤凰资讯,http://vl15191373.imwork.net:8880/udp/239.93.1.4:2191
凤凰资讯,http://www.372583307.top:4022/udp/233.50.200.192:5140
凤凰资讯,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV22.m3u8
凤凰资讯,https://tv.sd.cn/sichuan?id=239.93.0.118:2191
凤凰资讯,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
TVBS 新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV82.m3u8
三立新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
中天新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
中视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
